rssi,lqi
-58,140
-57,144
-59,136
-59,136
-57,144
-57,144
-59,136
-59,136
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-59,136
-59,136
-60,132
-59,136
-58,140
-58,140
-57,144
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-59,136
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-57,144
-58,140
-57,144
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-57,144
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-57,144
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-57,144
-57,144
-58,140
-57,144
-58,140
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-56,148
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-56,148
-55,152
-56,148
-56,148
-55,152
-57,144
-56,148
-56,148
-57,144
-59,136
-58,140
-59,136
-59,136
-59,136
-60,132
-60,132
-58,140
-57,144
-59,136
-59,136
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-59,136
-58,140
-58,140
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-59,136
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-60,132
-60,132
-60,132
-61,128
-61,128
-60,132
-59,136
-60,132
-61,128
-60,132
-59,136
-57,144
-58,140
-57,144
-60,132
-58,140
-57,144
-57,144
-59,136
-59,136
-62,124
-57,144
-60,132
-61,128
-62,124
-62,124
-58,140
-56,148
-55,152
-56,148
-57,144
-56,148
-55,152
-55,152
-55,152
-56,148
-57,144
-57,144
-56,148
-55,152
-57,144
-56,148
-55,152
-58,140
-57,144
-58,140
-58,140
-57,144
-57,144
-56,148
-56,148
-55,152
-55,152
-54,156
-55,152
-57,144
-59,136
-55,152
-58,140
-55,152
-58,140
-60,132
-57,144
-56,148
-56,148
-58,140
-60,132
-58,140
-57,144
-59,136
-57,144
-57,144
-56,148
-57,144
-57,144
-58,140
-55,152
-56,148
-56,148
-57,144
-58,140
-59,136
-58,140
-57,144
-55,152
-55,152
-55,152
-54,156
-54,156
-55,152
-56,148
-56,148
-56,148
-55,152
-57,144
-57,144
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-54,156
-55,152
-56,148
-57,144
-59,136
-60,132
-59,136
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-55,152
-56,148
-57,144
-56,148
-57,144
-57,144
-58,140
-57,144
-57,144
-56,148
-55,152
-53,160
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-57,144
-57,144
-58,140
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-54,156
-54,156
-54,156
-56,148
-55,152
-55,152
-56,148
-56,148
-57,144
-58,140
-59,136
-58,140
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-56,148
-56,148
-55,152
-56,148
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-55,152
-55,152
-56,148
-57,144
-57,144
-56,148
-57,144
-56,148
-56,148
-56,148
-57,144
-56,148
-55,152
-55,152
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-55,152
-55,152
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-54,156
-55,152
-55,152
-55,152
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-56,148
-56,148
-55,152
-55,152
-56,148
-56,148
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-59,136
-57,144
-55,152
-55,152
-55,152
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-55,152
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-56,148
-57,144
-59,136
-59,136
-59,136
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-55,152
-55,152
-56,148
-57,144
-56,148
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-55,152
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-57,144
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-59,136
-59,136
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-60,132
-59,136
-58,140
-57,144
-57,144
-57,144
-57,144
-59,136
-58,140
-57,144
-59,136
-58,140
-59,136
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-60,132
-59,136
-61,128
-60,132
-60,132
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-60,132
-61,128
-60,132
-60,132
-60,132
-61,128
-60,132
-61,128
-60,132
-60,132
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-59,136
-59,136
-58,140
-57,144
-57,144
-58,140
-58,140
-58,140
-57,144
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-56,148
-56,148
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-57,144
-57,144
-59,136
-58,140
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-57,144
-58,140
-57,144
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-57,144
-58,140
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-61,128
-60,132
-60,132
-61,128
-61,128
-62,124
-62,124
-62,124
-63,120
-62,124
-62,124
-61,128
-62,124
-62,124
-62,124
-60,132
-61,128
-61,128
-61,128
-61,128
-62,124
-61,128
-62,124
-63,120
-63,120
-62,124
-61,128
-62,124
-61,128
-61,128
-61,128
-61,128
-62,124
-61,128
-60,132
-59,136
-58,140
-58,140
-58,140
-59,136
-59,136
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-60,132
-61,128
-60,132
-60,132
-59,136
-58,140
-57,144
-59,136
-58,140
-57,144
-56,148
-56,148
-57,144
-57,144
-56,148
-57,144
-57,144
-56,148
-56,148
-56,148
-55,152
-56,148
-55,152
-56,148
-55,152
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-55,152
-56,148
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-57,144
-57,144
-57,144
-59,136
-59,136
-59,136
-58,140
-57,144
-56,148
-57,144
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-59,136
-59,136
-59,136
-58,140
-57,144
-56,148
-57,144
-58,140
-59,136
-59,136
-59,136
-58,140
-57,144
-57,144
-57,144
-57,144
-58,140
-60,132
-60,132
-60,132
-59,136
-58,140
-59,136
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-57,144
-56,148
-57,144
-58,140
-59,136
-59,136
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-61,128
-60,132
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-62,124
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-61,128
-60,132
-60,132
-60,132
-60,132
-60,132
-61,128
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-61,128
-61,128
-60,132
-61,128
-60,132
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-60,132
-60,132
-59,136
-60,132
-60,132
-60,132
-58,140
-57,144
-56,148
-56,148
-57,144
-58,140
-56,148
-58,140
-57,144
-58,140
-59,136
-60,132
-60,132
-59,136
-60,132
-58,140
-60,132
-59,136
-61,128
-59,136
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-59,136
-59,136
-59,136
-59,136
-60,132
-60,132
-60,132
-61,128
-61,128
-61,128
-60,132
-59,136
-59,136
-58,140
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-59,136
-59,136
-60,132
-60,132
-60,132
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-60,132
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-59,136
-58,140
-58,140
-57,144
-57,144
-56,148
-57,144
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-57,144
-58,140
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-57,144
-57,144
-58,140
-58,140
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-58,140
-59,136
-58,140
-58,140
-57,144
-57,144
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-57,144
-58,140
-59,136
-59,136
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-59,136
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-57,144
-57,144
-57,144
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-58,140
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-55,152
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-58,140
-57,144
-58,140
-59,136
-57,144
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-59,136
-59,136
-58,140
-56,148
-56,148
-55,152
-55,152
-55,152
-55,152
-54,156
-54,156
-55,152
-55,152
-55,152
-55,152
-56,148
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-56,148
-55,152
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-55,152
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-58,140
-58,140
-57,144
-58,140
-58,140
-57,144
-57,144
-57,144
-59,136
-58,140
-59,136
-58,140
-59,136
-59,136
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-59,136
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-58,140
-59,136
-59,136
-58,140
-59,136
-59,136
-59,136
-59,136
-57,144
-56,148
-57,144
-56,148
-55,152
-55,152
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-59,136
-59,136
-58,140
-58,140
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-59,136
-58,140
-59,136
-59,136
-59,136
-59,136
-61,128
-60,132
-61,128
-61,128
-61,128
-62,124
-62,124
-62,124
-62,124
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-61,128
-62,124
-61,128
-62,124
-61,128
-60,132
-62,124
-63,120
-63,120
-61,128
-61,128
-61,128
-62,124
-63,120
-63,120
-62,124
-62,124
-62,124
-61,128
-61,128
-62,124
-62,124
-63,120
-62,124
-62,124
-62,124
-61,128
-62,124
-62,124
-62,124
-61,128
-60,132
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-61,128
-61,128
-61,128
-62,124
-61,128
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-62,124
-61,128
-61,128
-61,128
-60,132
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-60,132
-61,128
-61,128
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-61,128
-60,132
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-60,132
-61,128
-61,128
-61,128
-61,128
-61,128
-60,132
-59,136
-60,132
-60,132
-60,132
-61,128
-60,132
-60,132
-59,136
-59,136
-60,132
-60,132
-60,132
-59,136
-60,132
-60,132
-59,136
-60,132
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-58,140
-57,144
-56,148
-56,148
-57,144
-57,144
-58,140
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-59,136
-58,140
-59,136
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-59,136
-59,136
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-59,136
-58,140
-58,140
-57,144
-57,144
-58,140
-57,144
-59,136
-59,136
-58,140
-58,140
-58,140
-59,136
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-59,136
-59,136
-58,140
-59,136
-59,136
-59,136
-59,136
-58,140
-59,136
-60,132
-60,132
-59,136
-58,140
-56,148
-56,148
-57,144
-56,148
-56,148
-56,148
-57,144
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-56,148
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-58,140
-56,148
-56,148
-57,144
-57,144
-56,148
-57,144
-57,144
-57,144
-60,132
-58,140
-56,148
-57,144
-57,144
-58,140
-58,140
-57,144
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-56,148
-56,148
-57,144
-57,144
-56,148
-56,148
-56,148
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-59,136
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-59,136
-59,136
-58,140
-58,140
-59,136
-58,140
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-60,132
-60,132
-60,132
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-57,144
-56,148
-57,144
-57,144
-57,144
-58,140
-57,144
-58,140
-59,136
-59,136
-59,136
-57,144
-57,144
-58,140
-57,144
-57,144
-58,140
-57,144
-57,144
-57,144
-57,144
-59,136
-58,140
-59,136
-60,132
-60,132
-59,136
-60,132
-58,140
-59,136
-57,144
-56,148
-57,144
-57,144
-56,148
-56,148
-55,152
-56,148
-55,152
-56,148
-57,144
-57,144
-55,152
-58,140
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-59,136
-60,132
-59,136
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-56,148
-56,148
-56,148
-57,144
-57,144
-58,140
-58,140
-57,144
-55,152
-55,152
-55,152
-55,152
-56,148
-58,140
-57,144
-57,144
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-59,136
-60,132
-60,132
-59,136
-60,132
-60,132
-59,136
-59,136
-58,140
-57,144
-57,144
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-56,148
-57,144
-56,148
-56,148
-58,140
-57,144
-58,140
-58,140
-58,140
-60,132
-59,136
-59,136
-60,132
-60,132
-61,128
-61,128
-58,140
-60,132
-61,128
-59,136
-60,132
-61,128
-60,132
-59,136
-60,132
-62,124
-59,136
-58,140
-59,136
-59,136
-61,128
-61,128
-60,132
-59,136
-58,140
-57,144
-59,136
-62,124
-62,124
-57,144
-58,140
-60,132
-56,148
-61,128
-59,136
-56,148
-60,132
-60,132
-60,132
-60,132
-61,128
-63,120
-60,132
-59,136
-60,132
-59,136
-60,132
-61,128
-61,128
-59,136
-59,136
-61,128
-60,132
-58,140
-59,136
-61,128
-59,136
-60,132
-61,128
-60,132
-63,120
-60,132
-61,128
-61,128
-60,132
-60,132
-61,128
-62,124
-59,136
-56,148
-57,144
-57,144
-59,136
-59,136
-57,144
-57,144
-56,148
-57,144
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-55,152
-55,152
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-60,132
-57,144
-57,144
-56,148
-56,148
-57,144
-57,144
-56,148
-56,148
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-58,140
-59,136
-61,128
-61,128
-60,132
-61,128
-62,124
-60,132
-61,128
-60,132
-60,132
-61,128
-60,132
-61,128
-61,128
-62,124
-62,124
-61,128
-61,128
-61,128
-61,128
-61,128
-62,124
-62,124
-62,124
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-60,132
-60,132
-57,144
-59,136
-59,136
-58,140
-57,144
-58,140
-60,132
-60,132
-57,144
-61,128
-60,132
-60,132
-58,140
-56,148
-57,144
-58,140
-56,148
-57,144
-56,148
-56,148
-56,148
-56,148
-57,144
-57,144
-57,144
-57,144
-58,140
-59,136
-59,136
-59,136
-58,140
-57,144
-59,136
-59,136
-57,144
-58,140
-59,136
-59,136
-59,136
-57,144
-57,144
-57,144
-57,144
-57,144
-57,144
-58,140
-58,140
-58,140
-58,140
-58,140
-59,136
-57,144
-57,144
-57,144
-58,140
-58,140
-57,144
-57,144
-57,144
-57,144
-58,140
-57,144
-56,148
-58,140
-57,144
-59,136
-60,132
-58,140
-57,144
-58,140
-60,132
-60,132
-59,136
-59,136
-59,136
-59,136
-59,136
-58,140
-59,136
-58,140
-59,136
-59,136
-59,136
-58,140
-58,140
-58,140
-58,140
-59,136
-59,136
-59,136
-56,148
-57,144
-57,144
-57,144
-57,144
-57,144
-56,148
-57,144
-57,144
-59,136
-60,132
-58,140
-58,140
-57,144
-61,128
-60,132
-60,132
-59,136
-60,132
